id;from;to;text;where;number;nouns;determiners;conjuctions;adjectives;prepositions;pronouns;verbs;adverbes;undefined;time
1;THREEPIO;;Did you hear that? They've shut down the main reactor. We'll be destroyed for sure. This is madness!;INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY;18;0;0;0;0;0;0;0;0;0;
2;THREEPIO;;We're doomed!;INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY;2;0;0;0;0;0;0;0;0;0;
3;THREEPIO;;There'll be no escape for the Princess this time.;INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY;9;0;0;0;0;0;0;0;0;0;
4;THREEPIO;;What's that?;INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY;2;0;0;0;0;0;0;0;0;0;
5;THREEPIO;;I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...;INT. REBEL BLOCKADE RUNNER;16;0;0;0;0;0;0;0;0;0;
6;LUKE;;Hurry up! Come with me! What are you waiting for?! Get in gear!;EXT. TATOOINE - DESERT WASTELAND - DAY;13;0;0;0;0;0;0;0;0;0;
7;THREEPIO;;ARTOO! ARTOO, where are you?;EXT. TATOOINE - DESERT WASTELAND - DAY;5;0;0;0;0;0;0;0;0;0;
8;THREEPIO;;At last! Where have you been?;EXT. TATOOINE - DESERT WASTELAND - DAY;6;0;0;0;0;0;0;0;0;0;
9;THREEPIO;;They're heading in this direction. What are we going to do? We'll be sent to the spice mine of Kessel or smashed into who knows what!;EXT. TATOOINE - DESERT WASTELAND - DAY;26;0;0;0;0;0;0;0;0;0;
10;THREEPIO;;Wait a minute, where are you going?;EXT. TATOOINE - DESERT WASTELAND - DAY;7;0;0;0;0;0;0;0;0;0;
11;IMPERIAL OFFICER;;The Death Star plans are not in the main computer.;INT. REBEL BLOCKADE RUNNER - CORRIDOR;10;0;0;0;0;0;0;0;0;0;
12;DARTH VADER;;Where are those transmissions you intercepted?;INT. REBEL BLOCKADE RUNNER - CORRIDOR;6;0;0;0;0;0;0;0;0;0;
13;DARTH VADER;;What have you done with those plans?;INT. REBEL BLOCKADE RUNNER - CORRIDOR;7;0;0;0;0;0;0;0;0;0;
14;REBEL OFFICER;;We intercepted no transmissions. Aaah... This is a consular ship. Were on a diplomatic mission.;INT. REBEL BLOCKADE RUNNER - CORRIDOR;15;0;0;0;0;0;0;0;0;0;
15;DARTH VADER;;If this is a consular ship... were is the Ambassador?;INT. REBEL BLOCKADE RUNNER - CORRIDOR;10;0;0;0;0;0;0;0;0;0;
16;DARTH VADER;;Commander, tear this ship apart until you've found those plans and bring me the Ambassador. I want her alive!;INT. REBEL BLOCKADE RUNNER - CORRIDOR;19;0;0;0;0;0;0;0;0;0;
17;TROOPER;;There she is! Set for stun!;INT. REBEL BLOCKADE RUNNER - SUBHALLWAY;6;0;0;0;0;0;0;0;0;0;
18;TROOPER;;She'll be all right. Inform Lord Vader we have a prisoner.;INT. REBEL BLOCKADE RUNNER - SUBHALLWAY;11;0;0;0;0;0;0;0;0;0;
19;THREEPIO;;Hey, you're not permitted in there. It's restricted. You'll be deactivated for sure..;INT. REBEL BLOCKADE RUNNER - SUBHALLWAY;13;0;0;0;0;0;0;0;0;0;
20;THREEPIO;;Don't call me a mindless philosopher, you overweight glob of grease! Now come out before somebody sees you.;INT. REBEL BLOCKADE RUNNER - SUBHALLWAY;18;0;0;0;0;0;0;0;0;0;
21;THREEPIO;;Secret mission? What plans? What are you talking about? I'm not getting in there!;INT. REBEL BLOCKADE RUNNER - SUBHALLWAY;14;0;0;0;0;0;0;0;0;0;
22;THREEPIO;;I'm going to regret this.;INT. REBEL BLOCKADE RUNNER - SUBHALLWAY;5;0;0;0;0;0;0;0;0;0;
23;CHIEF PILOT;;There goes another one.;INT. IMPERIAL STARDESTROYER;4;0;0;0;0;0;0;0;0;0;
24;CAPTAIN;;Hold your fire. There are no life forms. It must have been short-circuited.;INT. IMPERIAL STARDESTROYER;13;0;0;0;0;0;0;0;0;0;
25;THREEPIO;;That's funny, the damage doesn't look as bad from out here.;INT. IMPERIAL STARDESTROYER;11;0;0;0;0;0;0;0;0;0;
26;THREEPIO;;Are you sure this things safe?;INT. IMPERIAL STARDESTROYER;6;0;0;0;0;0;0;0;0;0;
27;WOMAN;;I've told you kids to slow down!;EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY;7;0;0;0;0;0;0;0;0;0;
28;FIXER;;Did I hear a young noise blast through here?;INT. POWER STATION - DAY;9;0;0;0;0;0;0;0;0;0;
29;CAMIE;;It was just wormie on another rampage.;INT. POWER STATION - DAY;7;0;0;0;0;0;0;0;0;0;
30;LUKE;;Shape it up you guys!... Biggs?;INT. POWER STATION - DAY;6;0;0;0;0;0;0;0;0;0;
31;LUKE;;I didn't know you were back! When did you get in?;INT. POWER STATION - DAY;11;0;0;0;0;0;0;0;0;0;
32;BIGGS;;Just now. I wanted to surprise you, hot shot. I thought you'd be here... certainly didn't expect you to be out working.;INT. POWER STATION - DAY;22;0;0;0;0;0;0;0;0;0;
33;LUKE;;The Academy didn't change you much...but you're back so soon? Hey, what happened, didn't you get your commission?;INT. POWER STATION - DAY;19;0;0;0;0;0;0;0;0;0;
34;BIGGS;;Of course I got it. Signed aboard The Rand Ecliptic last week. First mate Biggs Darklighter at your service... (he salutes) ...I just came to say good-bye to all you unfortunate landlocked simpletons.;INT. POWER STATION - DAY;31;0;0;0;0;0;0;0;0;0;
35;LUKE;;I almost forgot. There's a battle going on! Right here in our system. Come and look!;INT. POWER STATION - DAY;16;0;0;0;0;0;0;0;0;0;
36;DEAK;;Not again! Forget it.;INT. POWER STATION - DAY;4;0;0;0;0;0;0;0;0;0;
37;LUKE;;There they are!;EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - DAY;3;0;0;0;0;0;0;0;0;0;
38;BIGGS;;That's no battle, hot shot... they're just sitting there! Probably a freighter-tanker refueling.;EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - DAY;13;0;0;0;0;0;0;0;0;0;
39;LUKE;;But there was a lot of firing earlier...;EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - DAY;8;0;0;0;0;0;0;0;0;0;
40;LUKE;;Hey, easy with those...;EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - DAY;4;0;0;0;0;0;0;0;0;0;
41;CAMIE;;Don't worry about it, Wormie.;EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - DAY;5;0;0;0;0;0;0;0;0;0;
42;FIXER;;I keep telling you, the Rebellion is a long way from here. I doubt if the Empire would even fight to keep this system. Believe me Luke, this planet is a big hunk of nothing...;EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - DAY;35;0;0;0;0;0;0;0;0;0;
43;LEIA;;Lord Vader, I should have known. Only you could be so bold. The Imperial Senate will not sit for this, when they hear you've attacked a diplomatic...;INT. REBEL BLOCKADE RUNNER - HALLWAY;27;0;0;0;0;0;0;0;0;0;
44;DARTH VADER;;Don't play games with me, Your Highness. You weren't on any mercy mission this time. You passed directly through a restricted system. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you.;INT. REBEL BLOCKADE RUNNER - HALLWAY;44;0;0;0;0;0;0;0;0;0;
45;LEIA;;I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...;INT. REBEL BLOCKADE RUNNER - HALLWAY;20;0;0;0;0;0;0;0;0;0;
46;DARTH VADER;;You're a part of the Rebel Alliance... and a traitor. Take her away!;INT. REBEL BLOCKADE RUNNER - HALLWAY;13;0;0;0;0;0;0;0;0;0;
47;COMMANDER;;Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion in the senate.;INT. REBEL BLOCKADE RUNNER - HALLWAY;20;0;0;0;0;0;0;0;0;0;
48;DARTH VADER;;I have traced the Rebel spies to her. Now she is my only link to find their secret base!;INT. REBEL BLOCKADE RUNNER - HALLWAY;19;0;0;0;0;0;0;0;0;0;
49;COMMANDER;;She'll die before she tells you anything.;INT. REBEL BLOCKADE RUNNER - HALLWAY;7;0;0;0;0;0;0;0;0;0;
50;DARTH VADER;;Leave that to me. Send a distress signal and then inform the senate that all aboard were killed!;INT. REBEL BLOCKADE RUNNER - HALLWAY;18;0;0;0;0;0;0;0;0;0;
51;SECOND OFFICER;;Lord Vader, the battle station plans are not aboard this ship! And no transmissions were made. An escape pod was jettisoned during the fighting, but no life forms were aboard.;INT. REBEL BLOCKADE RUNNER - HALLWAY;30;0;0;0;0;0;0;0;0;0;
52;DARTH VADER;;She must have hidden the plans in the escape pod. Send a detachment down to retrieve them. See to it personally, Commander. There'll be no one to stop us this time.;INT. REBEL BLOCKADE RUNNER - HALLWAY;31;0;0;0;0;0;0;0;0;0;
53;COMMANDER;;Yes, sir.;INT. REBEL BLOCKADE RUNNER - HALLWAY;2;0;0;0;0;0;0;0;0;0;
54;THREEPIO;;How did I get into this mess? I really don't know how. We seem to be made to suffer. It's our lot in life.;EXT. TATOOINE;24;0;0;0;0;0;0;0;0;0;
