id;from;to;text;where;number;nouns;determiners;conjuctions;adjectives;prepositions;pronouns;verbs;adverbes;undefined;time
1;LUKE;;(into comlink) Echo Three to Echo Seven. Han, old buddy, do you read me?;EXT. PLAIN OF HOTH - DAY;12;0;0;0;0;0;0;0;0;0;
2;HAN;;(over comlink) Loud and clear, kid. What's up?;EXT. PLAIN OF HOTH - DAY;6;0;0;0;0;0;0;0;0;0;
3;LUKE;;(into comlink) Well, I finished my circle. I don't pick up any life readings.;EXT. PLAIN OF HOTH - DAY;12;0;0;0;0;0;0;0;0;0;
4;HAN;;(over comlink) There isn't enough life on this ice cube to fill a space cruiser. The sensors are placed, I'm going back.;EXT. PLAIN OF HOTH - DAY;20;0;0;0;0;0;0;0;0;0;
5;LUKE;;(into comlink) Right. I'll see you shortly. There's a meteorite that hit the ground near here. I want to check it out. It won't take long.;EXT. PLAIN OF HOTH - DAY;24;0;0;0;0;0;0;0;0;0;
6;LUKE;;Hey, steady girl. What's the matter? You smell something?;EXT. PLAIN OF HOTH - DAY;9;0;0;0;0;0;0;0;0;0;
7;LUKE;;Aaargh!;EXT. PLAIN OF HOTH - DAY;1;0;0;0;0;0;0;0;0;0;
8;HAN;;Chewie!;INT. HOTH - REBEL BASE - MAIN HANGAR DECK;1;0;0;0;0;0;0;0;0;0;
9;HAN;;All right, don't lose your temper. I'll come right back and give you a hand.;INT. HOTH - REBEL BASE - MAIN HANGAR DECK;15;0;0;0;0;0;0;0;0;0;
10;RIEEKAN;;Solo?;INT. HOTH - REBEL BASE - COMMAND CENTER;1;0;0;0;0;0;0;0;0;0;
11;HAN;;No sign of life out there, General. The sensors are in place. You'll know if anything comes around.;INT. HOTH - REBEL BASE - COMMAND CENTER;18;0;0;0;0;0;0;0;0;0;
12;RIEEKAN;;Commander Skywalker reported in yet?;INT. HOTH - REBEL BASE - COMMAND CENTER;5;0;0;0;0;0;0;0;0;0;
13;HAN;;No. He's checking out a meteorite that hit near him.;INT. HOTH - REBEL BASE - COMMAND CENTER;10;0;0;0;0;0;0;0;0;0;
14;RIEEKAN;;(indicates radar screen) With all the meteor activity in this system, it's going to be difficult to spot approaching ships.;INT. HOTH - REBEL BASE - COMMAND CENTER;17;0;0;0;0;0;0;0;0;0;
15;HAN;;General, I've got to leave. I can't stay anymore.;INT. HOTH - REBEL BASE - COMMAND CENTER;9;0;0;0;0;0;0;0;0;0;
16;RIEEKAN;;I'm sorry to hear that.;INT. HOTH - REBEL BASE - COMMAND CENTER;5;0;0;0;0;0;0;0;0;0;
17;HAN;;Well, there's a price on my head. If I don't pay off Jabba the Hut, I'm a dead man.;INT. HOTH - REBEL BASE - COMMAND CENTER;19;0;0;0;0;0;0;0;0;0;
18;RIEEKAN;;A death mark's not an easy thing to live with. You're a good fighter, Solo. I hate to lose you.;INT. HOTH - REBEL BASE - COMMAND CENTER;20;0;0;0;0;0;0;0;0;0;
19;HAN;;Thank you, General.;INT. HOTH - REBEL BASE - COMMAND CENTER;3;0;0;0;0;0;0;0;0;0;
20;HAN;;(with feeling) Well, Your Highness, I guess this is it.;INT. HOTH - REBEL BASE - COMMAND CENTER;8;0;0;0;0;0;0;0;0;0;
21;LEIA;;That's right.;INT. HOTH - REBEL BASE - COMMAND CENTER;2;0;0;0;0;0;0;0;0;0;
22;HAN;;(cooly) Well, don't get all mushy on me. So long, Princess.;INT. HOTH - REBEL BASE - COMMAND CENTER;10;0;0;0;0;0;0;0;0;0;
23;LEIA;;Han!;INT. HOTH - REBEL BASE - ICE CORRIDOR;1;0;0;0;0;0;0;0;0;0;
24;HAN;;Yes, Your Highnessness?;INT. HOTH - REBEL BASE - ICE CORRIDOR;3;0;0;0;0;0;0;0;0;0;
25;LEIA;;I thought you decided to stay.;INT. HOTH - REBEL BASE - ICE CORRIDOR;6;0;0;0;0;0;0;0;0;0;
26;HAN;;Well, the bounty hunter we ran into on Ord Mantell changed my mind.;INT. HOTH - REBEL BASE - ICE CORRIDOR;13;0;0;0;0;0;0;0;0;0;
27;LEIA;;Han, we need you!;INT. HOTH - REBEL BASE - ICE CORRIDOR;4;0;0;0;0;0;0;0;0;0;
28;HAN;;We?;INT. HOTH - REBEL BASE - ICE CORRIDOR;1;0;0;0;0;0;0;0;0;0;
29;LEIA;;Yes.;INT. HOTH - REBEL BASE - ICE CORRIDOR;1;0;0;0;0;0;0;0;0;0;
