id;from;to;text;where;number;nouns;determiners;conjuctions;adjectives;prepositions;pronouns;verbs;adverbes;undefined;time
1;CAPTAIN TYPHO;;We made it. I guess I was wrong, there was no danger at all.;EXT. CORUSCANT, LANDING PLATFORM - DAY;14;0;0;0;0;0;0;0;0;0;
2;PADME;;Cordé...;EXT. CORUSCANT, LANDING PLATFORM - DAY;1;0;0;0;0;0;0;0;0;0;
3;CORDÉ;;... I'm sorry, m'lady... I'm... not sure I...;EXT. CORUSCANT, LANDING PLATFORM - DAY;7;0;0;0;0;0;0;0;0;0;
4;AMIDALA;;No!... No!... No!...;EXT. CORUSCANT, LANDING PLATFORM - DAY;3;0;0;0;0;0;0;0;0;0;
5;AMIDALA;;I should not have come back.;EXT. CORUSCANT, LANDING PLATFORM - DAY;6;0;0;0;0;0;0;0;0;0;
6;CAPTAIN TYPHO;;M'Lady, you are still in danger.;EXT. CORUSCANT, LANDING PLATFORM - DAY;6;0;0;0;0;0;0;0;0;0;
7;CAPTAIN TYPHO;;This vote is very important. You didyour duty and Cordé did hers. Now come. (she doesn't respond) M'Lady, please!;EXT. CORUSCANT, LANDING PLATFORM - DAY;16;0;0;0;0;0;0;0;0;0;
8;MAS AMEDDA;;Order! We shall have order! The motion for the Republic to commission an army takes precedent, and that is what we will vote on at this time.;INT. SENATE CHAMBER - DAY;27;0;0;0;0;0;0;0;0;0;
9;PALPATINE;;...My esteemed colleagues, excuse me... I have just received some tragic and disturbing news. Senator Amidala of the Naboo system... Has been assassinated!;INT. SENATE CHAMBER - DAY;23;0;0;0;0;0;0;0;0;0;
10;PALPATINE;;(continued) This grievous blow is especially personal to me. Before I became Chancellor, I served Amidala when she was Queen. She was a great leader who fought for justice, not only in this honourable assembly, but also on her home planet. She was so loved she could have been elected queen for life. She believed in public service, and she fervently believed in democracy. Her death is a great loss to us all. We will all mourn her as a relentless champion of freedom... and as a dear friend.;INT. SENATE CHAMBER - DAY;88;0;0;0;0;0;0;0;0;0;
11;SENATOR ASK AAK;;How many more Senators will die before this civil strife ends! We must confront these rebels now, and they need an army to do it.;INT. SENATE CHAMBER - DAY;25;0;0;0;0;0;0;0;0;0;
12;AMBASSADOR DARSANA;;Why weren't the Jedi able to stop this assassination? We are no longer safe, under their protection.;INT. SENATE CHAMBER - DAY;17;0;0;0;0;0;0;0;0;0;
13;ORN FREE TAA;;The Republic needs more security now! Before it comes to war.;INT. SENATE CHAMBER - DAY;11;0;0;0;0;0;0;0;0;0;
14;PALPATINE;;Must I remind the Senator from Malastare that negotiations are continuing with the separatists. Peace is our objective here... not war.;INT. SENATE CHAMBER - DAY;21;0;0;0;0;0;0;0;0;0;
15;AMIDALA;;My noble colleagues, I concur with the Supreme Chancellor. At all costs, we do not want war!;INT. SENATE CHAMBER - DAY;17;0;0;0;0;0;0;0;0;0;
16;PALPATINE;;It is with great surprise and joy the chair recognises the Senator from Naboo, PADME Amidala.;INT. SENATE CHAMBER - DAY;16;0;0;0;0;0;0;0;0;0;
17;PADME;;Less than an hour ago, an assassination attempt was made against my life. One of my bodyguards and six others were ruthlessly and senselessly murdered. I was the target but, more importantly, I believe this security measure before you, was the target. I have led the opposition to build an army... but there is someone in this body who will stop at nothing to assure it's passage...;INT. SENATE CHAMBER - DAY;67;0;0;0;0;0;0;0;0;0;
18;PADME;;"(continuing) I warn you, if you vote to create this army, war will follow. I have experienced the misery of war first-hand; I do not wish to do it again.";INT. SENATE CHAMBER - DAY;29;0;0;0;0;0;0;0;0;0;
19;PADME;;Wake up, Senators... you must wake up! If you offer the separatists violence, they can only show us violence in return! Many will lose their lives. All will lose their freedom. This decision could very well destroy the very foundation of our great Republic. I pray you do not let fear push you into a disastrous decision. Vote down this security measure, which is nothing less than a declaration of war! Does anyone here want that? I cannot believe they do.;INT. SENATE CHAMBER - DAY;81;0;0;0;0;0;0;0;0;0;
20;ORN FREE TAA;;My motion to defer the vote must be dealt with first. That is the rule of law.;INT. SENATE CHAMBER - DAY;17;0;0;0;0;0;0;0;0;0;
21;PALPATINE;;Due to the lateness of the hour and the seriousness of this motion, we will take up these matters tomorrow. Until then, the Senate stands adjourned.;INT. SENATE CHAMBER - DAY;26;0;0;0;0;0;0;0;0;0;
22;PALPATINE;;I don't know how much longer I can hold off the vote, my friends. More and more star systems are joining the separatists.;INT. CHANCELLOR'S OFFICE - DAY;23;0;0;0;0;0;0;0;0;0;
23;MACE WINDU;;If they do break away -;INT. CHANCELLOR'S OFFICE - DAY;6;0;0;0;0;0;0;0;0;0;
24;PALPATINE;;No! I will not let that happen!;INT. CHANCELLOR'S OFFICE - DAY;7;0;0;0;0;0;0;0;0;0;
